Product,Keyword
occupancy analytics,"(?i)\bconnect[\s-]?admin([\s-]?tools?)?\b"
occupancy analytics,"(?i)\bconnect[\s-]?data[\s-]?export\b"
occupancy analytics,"(?i)\bconnect[\s-]?reports?\b"
occupancy analytics,"(?i)\bco[- ]?worker[s]?\b"
occupancy analytics,"(?i)\bdesk[s]?( sensor|s)?\b"
occupancy analytics,"(?i)\boccup(ancy|ying|ancy data|ancy management)\b"
occupancy analytics,"(?i)\butilization\b"
occupancy analytics,"(?i)\bconference room[s]?\b"
occupancy analytics,"(?i)\bcounter[s]?\b"
occupancy analytics,"(?i)\bdouble desks\b"
occupancy analytics,"(?i)\bhotel computer\b"
occupancy analytics,"(?i)\bhotelling\b"
occupancy analytics,"(?i)\bphone booth\b"
occupancy analytics,"(?i)\breservable\b"
odcv,"(?i)\bodcv\b"
odcv,"(?i)\bo[\s-]?dcv\b"
odcv,"(?i)\bdcv\b"
odcv,"(?i)\b0[\s-]?dcv\b"
odcv,"(?i)\bdemand[\s-]?control(?:led)?(?:[\s-]?ventilation)?\b"
odcv,"(?i)\boccupancy[\s-]?based[\s-]?control\b"
odcv,"(?i)\bsmart[\s-]?hvac\b"
odcv,"(?i)\bhvac[\s-]?efficiency\b"
odcv,"(?i)\bdynamic[\s-]?hvac[\s-]?control\b"
odcv,"(?i)\bhvac[\s-]?automation\b"
odcv,"(?i)\bventilation[\s-]?optimization\b"
odcv,"(?i)\boccupancy[\s-]?driven[\s-]?ventilation\b"
odcv,"(?i)\bventilation[\s-]?control\b"
odcv,"(?i)\boccupancy[\s-]?based[\s-]?ventilation\b"
odcv,"(?i)\bautomated[\s-]?hvac\b"
odcv,"(?i)\bcfm\b"
odcv,"(?i)\bstatic pressure\b"
odcv,"(?i)\bbac[- ]?net\b"
odcv,"(?i)\bbms( system)?\b"
odcv,"(?i)\bgateway\b"
odcv,"(?i)\boutside air\b"
odcv,"(?i)\bsequence of operation\b"
odcv,"(?i)\beconomizers?\b"
odcv,"(?i)\bec?n[o0]m[i1]z[e3]r(s)?\b"
odcv,"(?i)\bzone[\s-]?control\b"
odcv,"(?i)\bduct[\s-]?pressure\b"
odcv,"(?i)\bover[-\s]?ventilat(?:ion|ed)\b"
odcv,"(?i)\bunderventilat(?:ion|ed)?\b"
odcv,"(?i)\bco2\b"
odcv,"(?i)\bcarbon[\s-]?dioxide\b"
odcv,"(?i)\bco2[\s-]?(sensor|level|reading|monitor(?:ing)?|measurement|concentration)\b"
odcv,"(?i)\bco2[\s-]?ppm\b"
odcv,"(?i)\bco2\b[^a-zA-Z\d]{0,3}\d{2,4}\b"
odcv,"(?i)\bcontinuous[\s-]?monitor(?:ing|er)?\b"
odcv,"(?i)\btemperature\b"
odcv,"(?i)\bhumidity\b"
odcv,"(?i)\bthermal[\s-]?comfort\b"
odcv,"(?i)\bcomfort\b"
odcv,"(?i)\btoo[\s-]?(hot|cold|warm)\b"
odcv,"(?i)\b(hot|cold)[\s-]?call[s]?\b"
secure air,"(?i)\belectrostatic\b"
secure air,"(?i)\bpressure difference\b"
secure air,"(?i)\bfiltration\b"
secure air,"(?i)\bair[\s-]?purification\b"
secure air,"(?i)\bmerv[\s-]?filter\b"
secure air,"(?i)\bmerv[\s-]?rating\b"
secure air,"(?i)\bhepa[\s-]?filter\b"
secure air,"(?i)\bair[\s-]?filtration[\s-]?system\b"
secure air,"(?i)\bair[\s-]?clean(?:ing|er|liness)?\b"
secure air,"(?i)\bair[\s-]?purifier(?:[\s-]?system)?\b"
secure air,"(?i)\bpressure[\s-]?drop\b"
secure air,"(?i)\bfilter[\s-]?bank\b"
secure air,"(?i)\bparticulate[\s-]?removal\b"
secure air,"(?i)\bfiltration[\s-]?technology\b"
secure air,"(?i)\bhvac[\s-]?filter(?:ing|s)?\b"
secure air,"(?i)\bfiltration[\s-]?efficiency\b"
secure air,"(?i)\bair[\s-]?handling[\s-]?unit(?:s)?\b"
secure air,"(?i)\bhvac[\s-]?performance\b"
secure air,"(?i)\bsecure[- ]?aire\b"
secure air,"(?i)\bsecur[- ]?aire\b"
secure air,"(?i)\bsecureair\b"
secure air,"(?i)\bsecurair\b"
secure air,"(?i)\belectro[- ]?static\b"
secure air,"(?i)\bpolar[iy]zed\b"
secure air,"(?i)\brecirculation\b"
secure air,"(?i)\bfilter(?:s|ing)?\b"
eaas and savings measurement,"(?i)\bpercentage[\s\-]?of[\s\-]?energy[\s\-]?savings\b"
eaas and savings measurement,"(?i)\bsplit[\s\-]?savings[\s\-]?model\b"
eaas and savings measurement,"(?i)\bshared[\s\-]?savings[\s\-]?contract\b"
eaas and savings measurement,"(?i)\bestablish[\s\-]?baseline\b"
eaas and savings measurement,"(?i)\bquantify[\s\-]?energy[\s\-]?savings\b"
eaas and savings measurement,"(?i)\bthird[\s\-]?party[\s\-]?measurement[\s\-]?and[\s\-]?verification\b"
eaas and savings measurement,"(?i)\brevenue[\s\-]?sharing[\s\-]?model\b"
eaas and savings measurement,"(?i)\bno[\s\-]?upfront[\s\-]?cost[s]?\b"
eaas and savings measurement,"(?i)\benergy[\s\-]?savings[\s\-]?verif(?:ication|y)\b"
eaas and savings measurement,"(?i)\benergy[\s\-]?performance[\s\-]?contract[s]?\b"
eaas and savings measurement,"(?i)\bsubscription[\s\-]?based[\s\-]?model\b"
eaas and savings measurement,"(?i)\badjust(?:ed)?[\s\-]?(base[\s\-]?line|bayseline|base line)\b"
eaas and savings measurement,"(?i)\b(base[\s\-]?line|bayseline|base line)[\s\-]?(adjust(?:ment)?)?\b"
eaas and savings measurement,"(?i)\bbaseline[\s\-]?(model|adjust(?:ed|ment)?)\b"
eaas and savings measurement,"(?i)\bbasel+ines?\b"
eaas and savings measurement,"(?i)\bconsumption[\s\-]?base[\s\-]?line\b"
eaas and savings measurement,"(?i)\b(modeling|modelling)[\s\-]?base[\s\-]?line\b"
eaas and savings measurement,"(?i)\bnormali[sz]ed[\s\-]?base[\s\-]?line\b"
eaas and savings measurement,"(?i)\bbuilding[\s\-]?analytics?\b"
eaas and savings measurement,"(?i)\bbuilding[\s\-]?energy[\s\-]?models?\b"
eaas and savings measurement,"(?i)\bconsumption[\s\-]?data(?:[\s\-]?sets?)?\b"
eaas and savings measurement,"(?i)\bea{1,2}a{1,2}s\b"
eaas and savings measurement,"(?i)\befficien(?:cy)?[\s\-]?as[\s\-]?a[\s\-]?service\b"
eaas and savings measurement,"(?i)\benergy[\s\-]?as[\s\-]?a[\s\-]?service\b"
eaas and savings measurement,"(?i)\benergyas[\s\-]?a[\s\-]?service\b"
eaas and savings measurement,"(?i)\besco\b"
eaas and savings measurement,"(?i)\belectric(?:ity)?[\s\-]?usage[s]?\b"
eaas and savings measurement,"(?i)\belectricity[\s\-]?consum(?:ption|ing)\b"
eaas and savings measurement,"(?i)\benergy[\s\-]?analytics?\b"
eaas and savings measurement,"(?i)\benergy[\s\-]?consum(?:ption|ing|ptions)?\b"
eaas and savings measurement,"(?i)\benergy[\s\-]?dashboards?\b"
eaas and savings measurement,"(?i)\benergy[\s\-]?information[s]?[\s\-]?systems?\b"
eaas and savings measurement,"(?i)\benergy[\s\-]?intensit(?:y|ee)\b"
eaas and savings measurement,"(?i)\benergy[\s\-]?management\b"
eaas and savings measurement,"(?i)\benergy[\s\-]?monitor(?:ing|ed|or)?\b"
eaas and savings measurement,"(?i)\benergy[\s\-]?profile[s]?\b"
eaas and savings measurement,"(?i)\benergy[\s\-]?savings?\b"
eaas and savings measurement,"(?i)\benergy[\s\-]?savings[\s\-]?agreements?\b"
eaas and savings measurement,"(?i)\benergy[\s\-]?services?[\s\-]?(company|contract)\b"
eaas and savings measurement,"(?i)\benergy[\s\-]?usage[s]?\b"
eaas and savings measurement,"(?i)\bload[\s\-]?profile[s]?\b"
eaas and savings measurement,"(?i)\bload[\s\-]?curve[s]?\b"
eaas and savings measurement,"(?i)\busage[\s\-]?analysis\b"
eaas and savings measurement,"(?i)\b(m[\s&\-]{0,2}(and|n|v|b)[\s&\-]{0,2}v|ipmvp)\b"
eaas and savings measurement,"(?i)\b(m&v|m and v|m n v|envy)\b"
eaas and savings measurement,"(?i)\bm[\s&\-]?[vbp](?:[\s\-]?plan)?\b"
eaas and savings measurement,"(?i)\bmeasurement[\s\-]?(and|&)?[\s\-]?verification\b"
eaas and savings measurement,"(?i)\bmeasurement[\s\-]?(period|uncertainty)\b"
eaas and savings measurement,"(?i)\bverification[\s\-]?plan\b"
eaas and savings measurement,"(?i)\bmeter(?:[\s\-]?(data|ing|s|ings))?\b"
eaas and savings measurement,"(?i)\bsmart[\s\-]?meters?\b"
eaas and savings measurement,"(?i)\bsub[\s\-]?meters?|submeter[s]?|sub[\s\-]?metering\b"
eaas and savings measurement,"(?i)\bvirtual[\s\-]?meter(?:s|ing)?\b"
eaas and savings measurement,"(?i)\bsavings[\s\-]?calculations?\b"
eaas and savings measurement,"(?i)\bsavings[\s\-]?model[s]?\b"
eaas and savings measurement,"(?i)\bshared[\s\-]?savings\b"
eaas and savings measurement,"(?i)\bpayback[\s\-]?period[s]?\b"
eaas and savings measurement,"(?i)\bperformance[\s\-]?contract[s]?\b"
eaas and savings measurement,"(?i)\bpersistence[\s\-]?strategy\b"
eaas and savings measurement,"(?i)\breal[\s\-]?time[\s\-]?monitoring\b"
eaas and savings measurement,"(?i)\btherms?[\s\-]?usage\b"
eaas and savings measurement,"(?i)\butility[\s\-]?(bills?|data|datasets|rate[s]?|tariff[s]?)\b"
eaas and savings measurement,"(?i)\b(weather|temperature)[\s\-]?(adjusted|normali[sz]ation|normali[sz]ed[\s\-]?data|adjusted[\s\-]?datasets?|degree[\s\-]?days?)\b"
eaas and savings measurement,"(?i)\bnon[\s\-]?routine[\s\-]?adjustments?\b"
eaas and savings measurement,"(?i)\bipmvp[\s\-]?option[\s\-]?[abcd]\b"
eaas and savings measurement,"(?i)\benergy[\s\-]?conservation[\s\-]?measures?\b"
eaas and savings measurement,"(?i)\bavoided[\s\-]?costs?\b"
eaas and savings measurement,"(?i)\bcost[\s\-]?avoidance\b"
eaas and savings measurement,"(?i)\bregression[\s\-]?models?\b"
eaas and savings measurement,"(?i)\b(cooling|heating|cdd|hdd)[\s\-]?degree[\s\-]?days?\b"
eaas and savings measurement,"(?i)\bretrofit[\s\-]?savings\b"
eaas and savings measurement,"(?i)\bpersistence[\s\-]?factor\b"
eaas and savings measurement,"(?i)\bdemand[\s\-]?response\b"
eaas and savings measurement,"(?i)\bdr[\s\-]?program[s]?\b"
eaas and savings measurement,"(?i)\bdemand[\s\-]?charge[s]?\b"
eaas and savings measurement,"(?i)\bdemand[\s\-]?management\b"
eaas and savings measurement,"(?i)\bpeak[\s\-]?demand\b"
eaas and savings measurement,"(?i)\bpeak[\s\-]?shaving\b"
eaas and savings measurement,"(?i)\bload[\s\-]?shift(?:ing)?\b"
eaas and savings measurement,"(?i)\bload[\s\-]?management\b"
eaas and savings measurement,"(?i)\bcurtailment[\s\-]?event[s]?\b"
eaas and savings measurement,"(?i)\bdemand[\s\-]?reduction\b"
eaas and savings measurement,"(?i)\btime[\s\-]?of[\s\-]?use\b"
eaas and savings measurement,"(?i)\bon[\s\-]?peak\b"
eaas and savings measurement,"(?i)\boff[\s\-]?peak\b"
eaas and savings measurement,"(?i)\bmid[\s\-]?peak\b"
eaas and savings measurement,"(?i)\bsuper[\s\-]?off[\s\-]?peak\b"
eaas and savings measurement,"(?i)\bcritical[\s\-]?peak[\s\-]?pricing\b"
eaas and savings measurement,"(?i)\breal[\s\-]?time[\s\-]?pricing\b"
eaas and savings measurement,"(?i)\btiered[\s\-]?rate[s]?\b"
eaas and savings measurement,"(?i)\brate[\s\-]?schedule[s]?\b"
eaas and savings measurement,"(?i)\btariff[\s\-]?structure[s]?\b"
eaas and savings measurement,"(?i)\benergy[\s\-]?flat[\s\-]?rate[s]?\b"
eaas and savings measurement,"(?i)\bpower[\s\-]?factor\b"
eaas and savings measurement,"(?i)\bkw[\s\-]?demand\b"
eaas and savings measurement,"(?i)\bkilowatt[\s\-]?demand\b"
eaas and savings measurement,"(?i)\bkva[\s\-]?demand\b"
eaas and savings measurement,"(?i)\bmaximum[\s\-]?demand\b"
eaas and savings measurement,"(?i)\bcoincident[\s\-]?peak\b"
eaas and savings measurement,"(?i)\bnon[\s\-]?coincident[\s\-]?peak\b"
eaas and savings measurement,"(?i)\bratchet[\s\-]?clause\b"
eaas and savings measurement,"(?i)\bdemand[\s\-]?ratchet\b"
eaas and savings measurement,"(?i)\bancillary[\s\-]?services?\b"
eaas and savings measurement,"(?i)\bfrequency[\s\-]?regulation\b"
eaas and savings measurement,"(?i)\bspinning[\s\-]?reserves?\b"
eaas and savings measurement,"(?i)\bcapacity[\s\-]?market[s]?\b"
eaas and savings measurement,"(?i)\binterruptible[\s\-]?load\b"
eaas and savings measurement,"(?i)\bdistributed[\s\-]?energy[\s\-]?resources?\b"
eaas and savings measurement,"(?i)\bvirtual[\s\-]?power[\s\-]?plant\b"
eaas and savings measurement,"(?i)\btransmission[\s\-]?charge[s]?\b"
eaas and savings measurement,"(?i)\bdistribution[\s\-]?charge[s]?\b"
eaas and savings measurement,"(?i)\bcustomer[\s\-]?charge[s]?\b"
eaas and savings measurement,"(?i)\bfacility[\s\-]?charge[s]?\b"
eaas and savings measurement,"(?i)\bstandby[\s\-]?charge[s]?\b"
eaas and savings measurement,"(?i)\butility[\s\-]?service[\s\-]?charge[s]?\b"
eaas and savings measurement,"/\bM\s*(?:&|and|'?n'?|\.\s*)\s*V\b/i"
